"Jurisdiction","Precinct","Race","Candidate","Votes"
"Carson City","Precinct 101","Governor","Goodman, Robert ""Bob""","96"
"Carson City","Precinct 101","Governor","None Of These Candidates","24"
"Carson City","Precinct 101","Governor","Sandoval, Brian","373"
"Carson City","Precinct 101","Governor","VanDerBeek, David Lory","13"
"Carson City","Precinct 103","Governor","Goodman, Robert ""Bob""","117"
"Carson City","Precinct 103","Governor","None Of These Candidates","35"
"Carson City","Precinct 103","Governor","Sandoval, Brian","584"
"Carson City","Precinct 103","Governor","VanDerBeek, David Lory","15"
"Carson City","Precinct 105","Governor","Goodman, Robert ""Bob""","71"
"Carson City","Precinct 105","Governor","None Of These Candidates","38"
"Carson City","Precinct 105","Governor","Sandoval, Brian","686"
"Carson City","Precinct 105","Governor","VanDerBeek, David Lory","13"
"Carson City","Precinct 107","Governor","Goodman, Robert ""Bob""","87"
"Carson City","Precinct 107","Governor","None Of These Candidates","18"
"Carson City","Precinct 107","Governor","Sandoval, Brian","670"
"Carson City","Precinct 107","Governor","VanDerBeek, David Lory","27"
"Carson City","Precinct 109","Governor","Goodman, Robert ""Bob""","113"
"Carson City","Precinct 109","Governor","None Of These Candidates","29"
"Carson City","Precinct 109","Governor","Sandoval, Brian","679"
"Carson City","Precinct 109","Governor","VanDerBeek, David Lory","23"
"Carson City","Precinct 111","Governor","Goodman, Robert ""Bob""","115"
"Carson City","Precinct 111","Governor","None Of These Candidates","12"
"Carson City","Precinct 111","Governor","Sandoval, Brian","392"
"Carson City","Precinct 111","Governor","VanDerBeek, David Lory","28"
"Carson City","Precinct 113","Governor","Goodman, Robert ""Bob""","134"
"Carson City","Precinct 113","Governor","None Of These Candidates","35"
"Carson City","Precinct 113","Governor","Sandoval, Brian","739"
"Carson City","Precinct 113","Governor","VanDerBeek, David Lory","31"
"Carson City","Precinct 201","Governor","Goodman, Robert ""Bob""","70"
"Carson City","Precinct 201","Governor","None Of These Candidates","15"
"Carson City","Precinct 201","Governor","Sandoval, Brian","334"
"Carson City","Precinct 201","Governor","VanDerBeek, David Lory","23"
"Carson City","Precinct 203","Governor","Goodman, Robert ""Bob""","137"
"Carson City","Precinct 203","Governor","None Of These Candidates","31"
"Carson City","Precinct 203","Governor","Sandoval, Brian","479"
"Carson City","Precinct 203","Governor","VanDerBeek, David Lory","22"
"Carson City","Precinct 205","Governor","Goodman, Robert ""Bob""","113"
"Carson City","Precinct 205","Governor","None Of These Candidates","22"
"Carson City","Precinct 205","Governor","Sandoval, Brian","515"
"Carson City","Precinct 205","Governor","VanDerBeek, David Lory","27"
"Carson City","Precinct 207","Governor","Goodman, Robert ""Bob""","99"
"Carson City","Precinct 207","Governor","None Of These Candidates","16"
"Carson City","Precinct 207","Governor","Sandoval, Brian","462"
"Carson City","Precinct 207","Governor","VanDerBeek, David Lory","34"
"Carson City","Precinct 209","Governor","Goodman, Robert ""Bob""","83"
"Carson City","Precinct 209","Governor","None Of These Candidates","19"
"Carson City","Precinct 209","Governor","Sandoval, Brian","308"
"Carson City","Precinct 209","Governor","VanDerBeek, David Lory","21"
"Carson City","Precinct 211","Governor","Goodman, Robert ""Bob""","69"
"Carson City","Precinct 211","Governor","None Of These Candidates","12"
"Carson City","Precinct 211","Governor","Sandoval, Brian","397"
"Carson City","Precinct 211","Governor","VanDerBeek, David Lory","16"
"Carson City","Precinct 301","Governor","Goodman, Robert ""Bob""","71"
"Carson City","Precinct 301","Governor","None Of These Candidates","17"
"Carson City","Precinct 301","Governor","Sandoval, Brian","363"
"Carson City","Precinct 301","Governor","VanDerBeek, David Lory","18"
"Carson City","Precinct 303","Governor","Goodman, Robert ""Bob""","77"
"Carson City","Precinct 303","Governor","None Of These Candidates","18"
"Carson City","Precinct 303","Governor","Sandoval, Brian","393"
"Carson City","Precinct 303","Governor","VanDerBeek, David Lory","16"
"Carson City","Precinct 305","Governor","Goodman, Robert ""Bob""","106"
"Carson City","Precinct 305","Governor","None Of These Candidates","25"
"Carson City","Precinct 305","Governor","Sandoval, Brian","608"
"Carson City","Precinct 305","Governor","VanDerBeek, David Lory","26"
"Carson City","Precinct 307","Governor","Goodman, Robert ""Bob""","117"
"Carson City","Precinct 307","Governor","None Of These Candidates","36"
"Carson City","Precinct 307","Governor","Sandoval, Brian","533"
"Carson City","Precinct 307","Governor","VanDerBeek, David Lory","30"
"Carson City","Precinct 309","Governor","Goodman, Robert ""Bob""","119"
"Carson City","Precinct 309","Governor","None Of These Candidates","60"
"Carson City","Precinct 309","Governor","Sandoval, Brian","809"
"Carson City","Precinct 309","Governor","VanDerBeek, David Lory","32"
"Carson City","Precinct 401","Governor","Goodman, Robert ""Bob""","69"
"Carson City","Precinct 401","Governor","None Of These Candidates","13"
"Carson City","Precinct 401","Governor","Sandoval, Brian","339"
"Carson City","Precinct 401","Governor","VanDerBeek, David Lory","15"
"Carson City","Precinct 403","Governor","Goodman, Robert ""Bob""","142"
"Carson City","Precinct 403","Governor","None Of These Candidates","32"
"Carson City","Precinct 403","Governor","Sandoval, Brian","534"
"Carson City","Precinct 403","Governor","VanDerBeek, David Lory","28"
"Carson City","Precinct 405","Governor","Goodman, Robert ""Bob""","110"
"Carson City","Precinct 405","Governor","None Of These Candidates","21"
"Carson City","Precinct 405","Governor","Sandoval, Brian","463"
"Carson City","Precinct 405","Governor","VanDerBeek, David Lory","24"
"Carson City","Precinct 407","Governor","Goodman, Robert ""Bob""","74"
"Carson City","Precinct 407","Governor","None Of These Candidates","27"
"Carson City","Precinct 407","Governor","Sandoval, Brian","449"
"Carson City","Precinct 407","Governor","VanDerBeek, David Lory","17"
"Carson City","Precinct 409","Governor","Goodman, Robert ""Bob""","152"
"Carson City","Precinct 409","Governor","None Of These Candidates","31"
"Carson City","Precinct 409","Governor","Sandoval, Brian","568"
"Carson City","Precinct 409","Governor","VanDerBeek, David Lory","15"
"Carson City","Precinct 411","Governor","Goodman, Robert ""Bob""","69"
"Carson City","Precinct 411","Governor","None Of These Candidates","22"
"Carson City","Precinct 411","Governor","Sandoval, Brian","431"
"Carson City","Precinct 411","Governor","VanDerBeek, David Lory","7"
