"Jurisdiction","Precinct","Race","Candidate","Votes"
"Clark","1063 - COUNTY","State Assembly, District 21","Armstrong, Derek","234"
"Clark","1063 - COUNTY","State Assembly, District 21","Eisen, Andy","212"
"Clark","1063 - COUNTY","State Assembly, District 21","Sanacore, Adam-John","18"
"Clark","1137 - COUNTY","State Assembly, District 21","Armstrong, Derek","198"
"Clark","1137 - COUNTY","State Assembly, District 21","Eisen, Andy","171"
"Clark","1137 - COUNTY","State Assembly, District 21","Sanacore, Adam-John","18"
"Clark","1334 - COUNTY","State Assembly, District 21","Armstrong, Derek","216"
"Clark","1334 - COUNTY","State Assembly, District 21","Eisen, Andy","225"
"Clark","1334 - COUNTY","State Assembly, District 21","Sanacore, Adam-John","7"
"Clark","1335 - COUNTY","State Assembly, District 21","Armstrong, Derek","211"
"Clark","1335 - COUNTY","State Assembly, District 21","Eisen, Andy","213"
"Clark","1335 - COUNTY","State Assembly, District 21","Sanacore, Adam-John","13"
"Clark","1341 - COUNTY","State Assembly, District 21","Armstrong, Derek","161"
"Clark","1341 - COUNTY","State Assembly, District 21","Eisen, Andy","169"
"Clark","1341 - COUNTY","State Assembly, District 21","Sanacore, Adam-John","16"
"Clark","1342 - COUNTY","State Assembly, District 21","Armstrong, Derek","141"
"Clark","1342 - COUNTY","State Assembly, District 21","Eisen, Andy","167"
"Clark","1342 - COUNTY","State Assembly, District 21","Sanacore, Adam-John","16"
"Clark","1343 - COUNTY","State Assembly, District 21","Armstrong, Derek","192"
"Clark","1343 - COUNTY","State Assembly, District 21","Eisen, Andy","122"
"Clark","1343 - COUNTY","State Assembly, District 21","Sanacore, Adam-John","8"
"Clark","1344 - COUNTY","State Assembly, District 21","Armstrong, Derek","98"
"Clark","1344 - COUNTY","State Assembly, District 21","Eisen, Andy","116"
"Clark","1344 - COUNTY","State Assembly, District 21","Sanacore, Adam-John","1"
"Clark","1346 - COUNTY","State Assembly, District 21","Armstrong, Derek","296"
"Clark","1346 - COUNTY","State Assembly, District 21","Eisen, Andy","205"
"Clark","1346 - COUNTY","State Assembly, District 21","Sanacore, Adam-John","12"
"Clark","1351 - COUNTY","State Assembly, District 21","Armstrong, Derek","111"
"Clark","1351 - COUNTY","State Assembly, District 21","Eisen, Andy","192"
"Clark","1351 - COUNTY","State Assembly, District 21","Sanacore, Adam-John","16"
"Clark","1352 - COUNTY","State Assembly, District 21","Armstrong, Derek","149"
"Clark","1352 - COUNTY","State Assembly, District 21","Eisen, Andy","152"
"Clark","1352 - COUNTY","State Assembly, District 21","Sanacore, Adam-John","14"
"Clark","1676 - COUNTY","State Assembly, District 21","Armstrong, Derek","148"
"Clark","1676 - COUNTY","State Assembly, District 21","Eisen, Andy","116"
"Clark","1676 - COUNTY","State Assembly, District 21","Sanacore, Adam-John","5"
"Clark","1677 - COUNTY","State Assembly, District 21","Armstrong, Derek","189"
"Clark","1677 - COUNTY","State Assembly, District 21","Eisen, Andy","191"
"Clark","1677 - COUNTY","State Assembly, District 21","Sanacore, Adam-John","13"
"Clark","1678 - COUNTY","State Assembly, District 21","Armstrong, Derek","284"
"Clark","1678 - COUNTY","State Assembly, District 21","Eisen, Andy","179"
"Clark","1678 - COUNTY","State Assembly, District 21","Sanacore, Adam-John","15"
"Clark","1679 - COUNTY","State Assembly, District 21","Armstrong, Derek","297"
"Clark","1679 - COUNTY","State Assembly, District 21","Eisen, Andy","224"
"Clark","1679 - COUNTY","State Assembly, District 21","Sanacore, Adam-John","12"
"Clark","1680 - COUNTY","State Assembly, District 21","Armstrong, Derek","324"
"Clark","1680 - COUNTY","State Assembly, District 21","Eisen, Andy","270"
"Clark","1680 - COUNTY","State Assembly, District 21","Sanacore, Adam-John","23"
"Clark","1682 - COUNTY","State Assembly, District 21","Armstrong, Derek","165"
"Clark","1682 - COUNTY","State Assembly, District 21","Eisen, Andy","225"
"Clark","1682 - COUNTY","State Assembly, District 21","Sanacore, Adam-John","9"
"Clark","1687 - COUNTY","State Assembly, District 21","Armstrong, Derek","224"
"Clark","1687 - COUNTY","State Assembly, District 21","Eisen, Andy","196"
"Clark","1687 - COUNTY","State Assembly, District 21","Sanacore, Adam-John","12"
"Clark","1688 - COUNTY","State Assembly, District 21","Armstrong, Derek","163"
"Clark","1688 - COUNTY","State Assembly, District 21","Eisen, Andy","176"
"Clark","1688 - COUNTY","State Assembly, District 21","Sanacore, Adam-John","15"
"Clark","1689 - COUNTY","State Assembly, District 21","Armstrong, Derek","177"
"Clark","1689 - COUNTY","State Assembly, District 21","Eisen, Andy","170"
"Clark","1689 - COUNTY","State Assembly, District 21","Sanacore, Adam-John","7"
"Clark","7684 - HEN","State Assembly, District 21","Armstrong, Derek","132"
"Clark","7684 - HEN","State Assembly, District 21","Eisen, Andy","118"
"Clark","7684 - HEN","State Assembly, District 21","Sanacore, Adam-John","16"
"Clark","7685 - HEN","State Assembly, District 21","Armstrong, Derek","148"
"Clark","7685 - HEN","State Assembly, District 21","Eisen, Andy","182"
"Clark","7685 - HEN","State Assembly, District 21","Sanacore, Adam-John","11"
