State,Cycle Year,Level,Seats,Institution,Institution Note,Party Control,Governor,Governor Role,Upper House,Upper House Role,Lower House,Lower House Role,Court Action,Passed,Start Date,End Date,Plan Status,Drawn by,Party drawing,SHPsource,GeoJSON,ZIP,PDF
AK,2000,Congress,1,n/a,,n/a,n/a,,n/a,,n/a,,,,,,n/a,n/a,n/a,,,,
AK,2000,State Upper,20,Independent commission,,Republican,R,No role,,No role,,No role,court sent map back to commission,2001-06-18,2001-06-18,2002-06-11,Struck by state court,Independent commission,,,ak_2000_state_upper_2001-06-18.json,ak_2000_state_upper_2001-06-18.zip,ak_2000_state_upper_2001-06-18.pdf
AK,2000,State Upper,20,Independent commission,,Republican,R,No role,,No role,,No role,rejected challenge to commission map,2002-04-25,2002-06-11,2011-10-11,Superseded,Independent commission,,,ak_2000_state_upper_2002-06-11.json,ak_2000_state_upper_2002-06-11.zip,ak_2000_state_upper_2002-06-11.pdf
AK,2000,State Lower,40,Independent commission,,Republican,R,No role,,No role,,No role,court sent map back to commission,2001-06-18,2001-06-18,2002-06-11,Struck by state court,Independent commission,,,ak_2000_state_lower_2001-06-18.json,ak_2000_state_lower_2001-06-18.zip,ak_2000_state_lower_2001-06-18.pdf
AK,2000,State Lower,40,Independent commission,,Republican,R,No role,,No role,,No role,rejected challenge to commission map,2002-04-25,2002-06-11,2011-10-11,Superseded,Independent commission,,,ak_2000_state_lower_2002-06-11.json,ak_2000_state_lower_2002-06-11.zip,ak_2000_state_lower_2002-06-11.pdf
AK,2010,Congress,1,n/a,,n/a,n/a,,n/a,,n/a,,,,,,n/a,n/a,n/a,,,,
AK,2010,State Upper,20,Independent commission,,Republican,R,No role,"10 D, 10 R",No role,"16 D, 24 R",No role,Court sent map back to commission,2011-06-13,2011-10-11,2012-06-27,Struck by state court,Independent commission,Republican,https://web.archive.org/web/20120211000113/http://www.akredistricting.org/Files/PROCLAMATION/GIS.zip,ak_2010_state_upper_2011-10-11.json,ak_2010_state_upper_2011-10-11.zip,ak_2010_state_upper_2011-10-11.pdf
AK,2010,State Upper,20,Independent commission,,Republican,R,No role,"10 D, 10 R",No role,"18 D, 22 R",No role,Court sent map back to commission,2012-05-22,2012-06-27,2013-07-14,Struck by state court,Independent commission,Republican,https://web.archive.org/web/20150604164504/https://redistricting.lls.edu/districts/AKleginterim.zip,ak_2010_state_upper_2012-06-27.json,ak_2010_state_upper_2012-06-27.zip,ak_2010_state_upper_2012-06-27.pdf
AK,2010,State Upper,20,Independent commission,,Republican,R,No role,"7 D, 13 R",No role,"15 D, 25 R",No role,Court sent map back to commission,2013-07-14,2013-07-14,2021-11-10,Superseded,Independent commission,Republican,https://www2.census.gov/geo/tiger/TIGER2018/SLDU/tl_2018_02_sldu.zip,ak_2010_state_upper_2013-07-14.json,ak_2010_state_upper_2013-07-14.zip,ak_2010_state_upper_2013-07-14.pdf
AK,2010,State Lower,40,Independent commission,,Republican,R,No role,"10 D, 10 R",No role,"16 D, 24 R",No role,Court sent map back to commission,2011-06-13,2011-10-11,2012-06-27,Struck by state court,Independent commission,Republican,https://web.archive.org/web/20120211000113/http://www.akredistricting.org/Files/PROCLAMATION/GIS.zip,ak_2010_state_lower_2011-10-11.json,ak_2010_state_lower_2011-10-11.zip,ak_2010_state_lower_2011-10-11.pdf
AK,2010,State Lower,40,Independent commission,,Republican,R,No role,"10 D, 10 R",No role,"18 D, 22 R",No role,Court sent map back to commission,2012-05-22,2012-06-27,2013-07-14,Struck by state court,Independent commission,Republican,https://web.archive.org/web/20150906165805/http://redistricting.lls.edu/districts/AKleginterim.zip,ak_2010_state_lower_2012-06-27.json,ak_2010_state_lower_2012-06-27.zip,ak_2010_state_lower_2012-06-27.pdf
AK,2010,State Lower,40,Independent commission,,Republican,R,No role,"7 D, 13 R",No role,"15 D, 25 R",No role,Court sent map back to commission,2013-07-14,2013-07-14,2021-11-10,Superseded,Independent commission,Republican,https://www2.census.gov/geo/tiger/TIGER2018/SLDL/tl_2018_02_sldl.zip,ak_2010_state_lower_2013-07-14.json,ak_2010_state_lower_2013-07-14.zip,ak_2010_state_lower_2013-07-14.pdf
