"year","eg","eg_con","state","eg_pos","level","total_seats","institution","leg_control","gov_control","trifecta","state_supreme","primary","simp_inst","state_supcat","eg_pct","gov_bin"
"2008",-0.0103704673973978,-0.0408763726007529,"OH",0.0103704673973978,"State Lower",99,"Politician commission","Split","D",NA,"Nonpartisan Election","Semi","Commission","Election",-1.03704673973978,0
"2010",-0.0354157441596691,-0.00968438439186083,"OH",0.0354157441596691,"State Lower",99,"Politician commission","R","R","R","Nonpartisan Election","Semi","Commission","Election",-3.54157441596691,1
"2012",-0.099435065875256,-0.0735561119860813,"OH",0.099435065875256,"State Lower",99,"Politician commission","R","R","R","Nonpartisan Election","Semi","Commission","Election",-9.9435065875256,1
"2014",-0.0336139892100777,-0.0189029270727325,"OH",0.0336139892100777,"State Lower",99,"Politician commission","R","R","R","Nonpartisan Election","Semi","Commission","Election",-3.36139892100777,1
"2016",-0.0444609024575001,-0.0643054318011077,"OH",0.0444609024575001,"State Lower",99,"Politician commission","R","R","R","Nonpartisan Election","Semi","Commission","Election",-4.44609024575001,1
"2018",-0.0530259429555086,-0.0214095912810914,"OH",0.0530259429555086,"State Lower",99,"Politician commission","R","R","R","Nonpartisan Election","Semi","Commission","Election",-5.30259429555086,1
"2020",-0.052460537398381,-0.0501116100811877,"OH",0.052460537398381,"State Lower",99,"Politician commission","R","R","R","Nonpartisan Election","Semi","Commission","Election",-5.2460537398381,1
"2022",-0.0580604175521268,-0.0527848206044674,"OH",0.0580604175521268,"State Lower",99,"Politician commission","R","R","R","Partisan Election","Semi","Commission","Election",-5.80604175521268,1
"2008",-0.0389230890749304,0.0407512665405954,"WI",0.0389230890749304,"State Lower",99,"Legislature","D","D","Split","Nonpartisan Election","Open","Legislature","Election",-3.89230890749304,0
"2010",-0.0662307623098542,-0.00959264453699479,"WI",0.0662307623098542,"State Lower",99,"Legislature","R","R","R","Nonpartisan Election","Open","Legislature","Election",-6.62307623098542,1
"2012",-0.111464894468109,-0.0533097025508366,"WI",0.111464894468109,"State Lower",99,"Legislature","R","R","R","Nonpartisan Election","Open","Legislature","Election",-11.1464894468109,1
